Category,Key,Value,Extra,Comment
address,DytRUPhczBBWRdbakQ3d7HudyvUTZWUUpivUbHw2eVvh,Airdrop recipient,,
address,6hoTDjiLq8SNRCVTgaB45WYtPTAdnTMMuBBhNj7xKdgz,Airdrop recipient,,
address,B7zXLGJuP4LPnGFi56aMcNjJQCStGMEW4UR6M3K77BpT,Airdrop recipient,,
address,3pzevRqkFkCvFHyzKaPnetLEwYVNyUfkQuc6ArXnMHCr,Airdrop recipient,,
address,2fhXqSiq84YBPKfAdNUzy5U2bro2FWTGMucaqcj2Bq1e,Airdrop recipient,,
address,Ht6KHZy1R4obUQKDWKtmxZtY3ZtMgL4tMvTtSRKV7ZFu,Airdrop recipient,,
address,A1nHbR3ESbx2hoaczmJQYykoc8ceXaDi8Bec4VTVFw2Q,Airdrop recipient,,
address,4zNkiB7Tt5eeo7eVXVVoc75WD84iCT4seG3r7BCraT5d,Airdrop recipient,,
address,7CVZ4pidWpLccBV4M1mZZeMYVFCsS4PGZzcZ4g5KTwUu,Airdrop recipient,,
address,F3qrB9at8vBhsWeVABxnHYPrqAJ1NLJDCepiUSnbav8M,Airdrop recipient,,
address,CYtYif5fPGN4aRcp4VdB48zH7FfMEUcxxiWQnsNCSQX3,Airdrop recipient,,
address,8GAX9hPQKRHWEWY1ze753ij9bnqsgdrQ6fex4hb6HQuP,Airdrop recipient,,
address,8nfZ3cUmRm6zpr8ZpaRQNjFdu7pLDq4RVVWDjKFwYcrK,Airdrop recipient,,
address,3LJ4c95cvt3GqxV2xcXqTYWTjuf5mfAsiZibS5C3195C,Airdrop recipient,,
address,BxVon6qnojEp4gkA1RphGnF6UYZv9n4rP6f3YemLUVNb,Airdrop recipient,,
address,4oaEkpyNToSbQmZpT3cL1s51f84yHaiSSRMFjb4y9dz1,Airdrop recipient,,
address,52Mb7HdbpYPYFYuw2Db93EFHPUCfNnQA67jzCHHRL2QK,Airdrop recipient,,
address,BxfkArEuARjWgtxAsmMJNqBjuDEfX7dEj7UqfviZtnoT,Airdrop recipient,,
address,5XP4xCTrhjXKn1RmS3MHFbwEU7xFiuam5EAdbzbx7Y9Z,Airdrop recipient,,
address,58GpycKbZAGXWQQwCBN8mNXLpGQRyGoaKS29H3xovEHZ,Airdrop recipient,,
address,5crmZXnsfbAYEyXrRFHYUfTqxJAFAXmptp3Rr5qk6m4B,Airdrop recipient,,
address,49aNdaUityGr8UdZSSgMaKtfWDFqVrv6L9W6FAosxB8K,Airdrop recipient,,
address,Axpm36niyoBnW8DY5xZVS6226aqBJzfTXrhHP6Nq4yny,Airdrop recipient,,
address,FL2fRmBFRDvsy6LM4XSiKwbCSNnsRxBQeL9ftY1oCFMS,Airdrop recipient,,
address,D3pdYNkYsCuLtvyUE46uxRty2Sce7oKWs4qRJLwLbhDx,Airdrop recipient,,
address,8FDdCnuoMmDXuDddSM7JYRa49WMUXbcwXJ4ghgb89b5F,Airdrop recipient,,
address,CdeVYDpCVtHxsTXjFuqKBeQR41pPZfWFgmX46NzMt9rR,Airdrop recipient,,
address,2HmEft5k13nx6Sk8r2ZkijRssCKV1RLnJAT3EZWmT3Dt,Airdrop recipient,,
address,AZPGRLC4j9Y4owhmAQhhw79dA41z69SFE231VBe6FRsh,Airdrop recipient,,
address,HZgtu82uGAsWS2WgodNdtt51Aae7MjUvYVz99GToW5Av,Airdrop recipient,,
address,D21mXNLpx1cKmNt3GuTCkn25EvuFqGcrYVhEZgCUma6b,Airdrop recipient,,
address,8HNCS2MBdCYaVoFcp6sgdYJfCZCV5G672BVy2JebLKkz,Airdrop recipient,,
address,9bHrmRjLEeRtJgvtC2p1zYuZ6AF5woejxeX5twjpKNGS,Airdrop recipient,,
address,FMMBPJQwMNQseJzFXFiHPgA6rBNemQhZBbb8QDecXiye,Airdrop recipient,,
address,6gCHH8giZ1fAr7xKXkpBDuHhvQCTpV7LnabS5K7fVSVS,Airdrop recipient,,
address,J7wMDcm9S5TV6ddW5z7d48XSPsxb4DVrjWUyp1qpRj6n,Airdrop recipient,,
address,F2roF3AbuPDkJJDADCYpCGPiPeLLLktBQGRbdiz4DQK1,Airdrop recipient,,
address,ECkpFiur8ieQ36HXFqmNXzgnLtyneTKt7C2rUxab6cma,Airdrop recipient,,
address,82Nb1LdC7VuaDBtx1e4zQNYpRbUa8oKMD2JgyHtWLH5e,Airdrop recipient,,
address,JAKTjjnaeV6RWhZt8cHbuXYN3eav9C5X4yAEYVYcT5W1,Airdrop recipient,,
address,72AcBSMEKSYgVZDBoLhGyxTeUPXuFHHMeKQaBTR15fCD,Airdrop recipient,,
address,GuajQykeNYU3yzLAeiy1bCTrafoAfVD2quY8YPVpZLPj,Airdrop recipient,,
address,2iifJMwc7vHJBHfJtyH9C6MhDGwk9JoZPwGKT8X7nZTk,Airdrop recipient,,
address,8J8bYqzDEUoPRD7JjxMHAEUcg8WMmDtrKc1trr2FAznv,Airdrop recipient,,
address,5H5XyTXWJap5dXac9JK6jgzcJMQNMqR23JcaAiUYLzzJ,Airdrop recipient,,
